Date,SeasonTag,HomeTeam,AwayTeam,Opponent,IsHome,FTHG,FTAG,ChelseaGoals,OppGoals,FTR,Target,Points,FormPoints_5,GoalsFor_5,GoalsAgainst_5,GoalDiff_5,WinRate_5,B365H,B365D,B365A,Odds_Win,Odds_Draw,Odds_Loss,ImpP_Win,ImpP_Draw,ImpP_Loss,Overround,LogOdds_Win,LogOdds_Draw,LogOdds_Loss
2018-09-23,E0,West Ham,Chelsea,West Ham,0,0,0,0,0,D,Draw,1,15.0,14.0,4.0,10.0,1.0,6.0,4.5,1.57,1.57,4.5,6.0,0.6209037599172128,0.21662642290444978,0.16246981717833733,1.0258315640481246,0.45107561936021673,1.5040773967762742,1.791759469228055
2018-09-29,E0,Chelsea,Liverpool,Liverpool,1,1,1,1,1,D,Draw,1,13.0,11.0,4.0,7.0,0.8,2.8,3.6,2.54,2.8,3.6,2.54,0.3472053462940462,0.27004860267314706,0.3827460510328068,1.0286214223222097,1.0296194171811581,1.2809338454620642,0.9321640810304452
2018-10-07,E0,Southampton,Chelsea,Southampton,0,0,3,3,0,A,Win,3,11.0,9.0,3.0,6.0,0.6,6.0,4.1,1.61,1.61,4.1,6.0,0.6020410660532047,0.23641124788918533,0.16154768605760994,1.031687118113417,0.4762341789963717,1.410986973710262,1.791759469228055
2018-10-20,E0,Chelsea,Man United,Man United,1,2,2,2,2,D,Draw,1,11.0,10.0,2.0,8.0,0.6,1.75,3.8,5.25,1.75,3.8,5.25,0.5574572127139364,0.2567237163814181,0.1858190709046455,1.025062656641604,0.5596157879354227,1.33500106673234,1.6582280766035324
2018-10-28,E0,Burnley,Chelsea,Burnley,0,0,4,4,0,A,Win,3,9.0,10.0,4.0,6.0,0.4,11.0,5.0,1.36,1.36,5.0,11.0,0.7165190203230849,0.19489317352787913,0.08858780614903597,1.0262032085561497,0.3074846997479607,1.6094379124341003,2.3978952727983707
2018-11-04,E0,Chelsea,Crystal Palace,Crystal Palace,1,3,1,3,1,H,Win,3,9.0,10.0,3.0,7.0,0.4,1.25,6.75,13.0,1.25,6.75,13.0,0.7804335742078933,0.14452473596442467,0.07504168982768206,1.025071225071225,0.22314355131420976,1.9095425048844386,2.5649493574615367
2018-11-11,E0,Chelsea,Everton,Everton,1,0,0,0,0,D,Draw,1,11.0,13.0,4.0,9.0,0.6,1.4,5.25,8.5,1.4,5.25,8.5,0.6986301369863014,0.1863013698630137,0.11506849315068494,1.022408963585434,0.3364722366212129,1.6582280766035324,2.1400661634962708
2018-11-24,E0,Tottenham,Chelsea,Tottenham,0,3,1,1,3,H,Loss,0,11.0,12.0,3.0,9.0,0.6,2.8,3.5,2.6,2.6,3.5,2.8,0.37433155080213903,0.27807486631016043,0.3475935828877006,1.0274725274725274,0.9555114450274363,1.252762968495368,1.0296194171811581
2018-12-02,E0,Chelsea,Fulham,Fulham,1,2,0,2,0,H,Win,3,8.0,10.0,6.0,4.0,0.4,1.18,8.0,17.0,1.18,8.0,17.0,0.8217522658610272,0.12120845921450152,0.0570392749244713,1.0312811565304087,0.16551443847757333,2.0794415416798357,2.833213344056216
2018-12-05,E0,Wolves,Chelsea,Wolves,0,2,1,1,2,H,Loss,0,10.0,10.0,4.0,6.0,0.6,5.0,3.75,1.8,1.8,3.75,5.0,0.5434782608695653,0.2608695652173913,0.19565217391304351,1.0222222222222221,0.5877866649021191,1.3217558399823195,1.6094379124341003
2018-12-08,E0,Chelsea,Man City,Man City,1,2,0,2,0,H,Win,3,7.0,7.0,6.0,1.0,0.4,4.0,3.8,1.95,4.0,3.8,1.95,0.24366984544557713,0.25649457415323906,0.4998355804011839,1.0259784075573548,1.3862943611198906,1.33500106673234,0.6678293725756554
2018-12-16,E0,Brighton,Chelsea,Brighton,0,1,2,2,1,A,Win,3,7.0,6.0,5.0,1.0,0.4,7.5,4.5,1.5,1.5,4.5,7.5,0.6521739130434783,0.21739130434782608,0.13043478260869565,1.0222222222222221,0.4054651081081644,1.5040773967762742,2.0149030205422647
2018-12-22,E0,Chelsea,Leicester,Leicester,1,0,1,0,1,A,Loss,0,9.0,8.0,6.0,2.0,0.6,1.33,5.5,11.0,1.33,5.5,11.0,0.733822548365577,0.17745163442294865,0.08872581721147432,1.024606971975393,0.28517894223366247,1.7047480922384253,2.3978952727983707
2018-12-26,E0,Watford,Chelsea,Watford,0,1,2,2,1,A,Win,3,9.0,7.0,4.0,3.0,0.6,5.25,3.8,1.75,1.75,3.8,5.25,0.5574572127139364,0.2567237163814181,0.1858190709046455,1.025062656641604,0.5596157879354227,1.33500106673234,1.6582280766035324
2018-12-30,E0,Crystal Palace,Chelsea,Crystal Palace,0,0,1,1,0,A,Win,3,9.0,7.0,5.0,2.0,0.6,4.75,4.0,1.66,1.66,4.0,4.75,0.5667412378821775,0.23519761372110362,0.19806114839671882,1.0629359543436907,0.5068176023684519,1.3862943611198906,1.55814461804655
